"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual Exceptions","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Sample","Count","Alloy","Material_Form","Heat"
176,"CapPass",163.98,-167.06,,"Qualified",0.982,1397.34,1401.47,"43-20",176,"Alloy 617","Plate",314626
177,"CapPass",163.34,-170.06,,"Qualified",0.960,1405.33,1409.40,"43-20",177,"Alloy 617","Plate",314626
178,"CapPass",164.69,-167.94,,"Qualified",0.981,1413.43,1417.20,"43-20",178,"Alloy 617","Plate",314626
179,"CapPass",163.47,-166.51,,"Qualified",0.982,1421.50,1425.51,"43-20",179,"Alloy 617","Plate",314626
180,"CapPass",164.19,-166.77,,"Qualified",0.985,1429.30,1433.50,"43-20",180,"Alloy 617","Plate",314626
181,"CapPass",163.82,-165.11,,"Qualified",0.992,1437.51,1441.51,"43-20",181,"Alloy 617","Plate",314626
182,"CapPass",163.37,-166.83,,"Qualified",0.979,1445.29,1449.52,"43-20",182,"Alloy 617","Plate",314626
183,"CapPass",163.86,-167.53,,"Qualified",0.978,1453.44,1457.52,"43-20",183,"Alloy 617","Plate",314626
184,"CapPass",163.96,-166.68,,"Qualified",0.984,1461.48,1465.35,"43-20",184,"Alloy 617","Plate",314626
185,"CapPass",161.79,-166.92,,"Qualified",0.969,1469.21,1473.41,"43-20",185,"Alloy 617","Plate",314626
186,"CapPass",160.85,-166.14,,"Qualified",0.968,1477.56,1481.56,"43-20",186,"Alloy 617","Plate",314626
187,"CapPass",163.32,-166.94,,"Qualified",0.978,1485.59,1489.39,"43-20",187,"Alloy 617","Plate",314626
188,"CapPass",161.29,-166.86,,"Qualified",0.967,1493.31,1497.57,"43-20",188,"Alloy 617","Plate",314626
189,"CapPass",163.95,-167.02,,"Qualified",0.982,1501.38,1505.58,"43-20",189,"Alloy 617","Plate",314626
190,"CapPass",163.09,-166.43,,"Qualified",0.980,1509.34,1513.28,"43-20",190,"Alloy 617","Plate",314626
191,"CapPass",162.76,-168.27,,"Qualified",0.967,1517.59,1521.60,"43-20",191,"Alloy 617","Plate",314626
192,"CapPass",162.70,-168.00,,"Qualified",0.968,1525.60,1529.62,"43-20",192,"Alloy 617","Plate",314626
193,"CapPass",162.13,-168.08,,"Qualified",0.965,1533.62,1537.58,"43-20",193,"Alloy 617","Plate",314626
194,"CapPass",163.30,-168.47,,"Qualified",0.969,1541.35,1545.60,"43-20",194,"Alloy 617","Plate",314626
195,"CapPass",164.22,-168.23,,"Qualified",0.976,1549.60,1553.61,"43-20",195,"Alloy 617","Plate",314626
196,"CapPass",160.33,-168.09,,"Qualified",0.954,1557.62,1561.65,"43-20",196,"Alloy 617","Plate",314626
197,"CapPass",162.75,-166.56,,"Qualified",0.977,1565.66,1569.61,"43-20",197,"Alloy 617","Plate",314626
198,"CapPass",164.22,-166.87,,"Qualified",0.984,1573.54,1577.67,"43-20",198,"Alloy 617","Plate",314626
199,"CapPass",162.72,-165.87,,"Qualified",0.981,1581.67,1585.55,"43-20",199,"Alloy 617","Plate",314626
200,"CapPass",164.64,-167.03,,"Qualified",0.986,1589.58,1593.69,"43-20",200,"Alloy 617","Plate",314626
201,"CapPass",162.23,-167.60,,"Qualified",0.968,1597.67,1601.70,"43-20",201,"Alloy 617","Plate",314626
202,"CapPass",163.90,-168.38,,"Qualified",0.973,1605.61,1609.69,"43-20",202,"Alloy 617","Plate",314626
203,"CapPass",162.29,-168.83,,"Qualified",0.961,1613.50,1617.71,"43-20",203,"Alloy 617","Plate",314626
204,"CapPass",163.54,-165.40,,"Qualified",0.989,1621.64,1625.66,"43-20",204,"Alloy 617","Plate",314626
205,"CapPass",162.31,-167.01,,"Qualified",0.972,1629.43,1633.65,"43-20",205,"Alloy 617","Plate",314626
206,"CapPass",163.16,-167.81,,"Qualified",0.972,1637.73,1641.74,"43-20",206,"Alloy 617","Plate",314626
207,"CapPass",163.48,-166.33,,"Qualified",0.983,1645.46,1649.73,"43-20",207,"Alloy 617","Plate",314626
208,"CapPass",163.97,-166.81,,"Qualified",0.983,1653.51,1657.69,"43-20",208,"Alloy 617","Plate",314626
209,"CapPass",162.58,-166.38,,"Qualified",0.977,1661.71,1665.77,"43-20",209,"Alloy 617","Plate",314626
210,"CapPass",164.24,-165.93,,"Qualified",0.990,1669.70,1673.78,"43-20",210,"Alloy 617","Plate",314626
211,"CapPass",163.54,-166.13,,"Qualified",0.984,1677.76,1681.78,"43-20",211,"Alloy 617","Plate",314626
212,"CapPass",163.72,-168.29,,"Qualified",0.973,1685.68,1689.81,"43-20",212,"Alloy 617","Plate",314626
213,"CapPass",163.68,-167.20,,"Qualified",0.979,1693.79,1697.79,"43-20",213,"Alloy 617","Plate",314626
214,"CapPass",164.72,-165.85,,"Qualified",0.993,1701.80,1705.82,"43-20",214,"Alloy 617","Plate",314626
215,"CapPass",161.79,-166.89,,"Qualified",0.969,1709.81,1713.82,"43-20",215,"Alloy 617","Plate",314626
216,"CapPass",164.09,-165.89,,"Qualified",0.989,1717.82,1721.66,"43-20",216,"Alloy 617","Plate",314626
217,"CapPass",163.90,-166.48,,"Qualified",0.984,1725.73,1729.83,"43-20",217,"Alloy 617","Plate",314626
218,"CapPass",164.86,-165.45,,"Qualified",0.996,1733.68,1737.83,"43-20",218,"Alloy 617","Plate",314626
219,"CapPass",163.55,-166.22,,"Qualified",0.984,1741.71,1745.85,"43-20",219,"Alloy 617","Plate",314626
220,"CapPass",163.25,-168.44,,"Qualified",0.969,1749.83,1753.85,"43-20",220,"Alloy 617","Plate",314626
221,"CapPass",163.44,-165.87,,"Qualified",0.985,1757.70,1761.87,"43-20",221,"Alloy 617","Plate",314626
222,"CapPass",163.65,-165.95,,"Qualified",0.986,1765.88,1769.88,"43-20",222,"Alloy 617","Plate",314626
223,"CapPass",163.32,-167.03,,"Qualified",0.978,1773.57,1777.77,"43-20",223,"Alloy 617","Plate",314626
224,"CapPass",162.38,-168.25,,"Qualified",0.965,1781.79,1785.90,"43-20",224,"Alloy 617","Plate",314626
225,"CapPass",163.69,-167.00,,"Qualified",0.980,1789.76,1793.92,"43-20",225,"Alloy 617","Plate",314626
226,"CapPass",163.08,-168.30,,"Qualified",0.969,1797.90,1801.86,"43-20",226,"Alloy 617","Plate",314626
227,"CapPass",162.23,-165.19,,"Qualified",0.982,1805.93,1809.92,"43-20",227,"Alloy 617","Plate",314626
228,"CapPass",163.04,-168.93,,"Qualified",0.965,1813.94,1817.80,"43-20",228,"Alloy 617","Plate",314626
229,"CapPass",162.69,-166.91,,"Qualified",0.975,1821.94,1825.94,"43-20",229,"Alloy 617","Plate",314626
230,"CapPass",163.74,-168.08,,"Qualified",0.974,1829.73,1833.92,"43-20",230,"Alloy 617","Plate",314626
231,"CapPass",162.09,-166.56,,"Qualified",0.973,1837.92,1841.95,"43-20",231,"Alloy 617","Plate",314626
232,"CapPass",164.23,-165.47,,"Qualified",0.992,1845.76,1849.97,"43-20",232,"Alloy 617","Plate",314626
