"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Count","Sample","Alloy","Material_Form","Heat"
99,"CapPass",173.43,-173.6,"Trend",0.999,580.31,583.34,99,"B-3","Alloy 617","Plate",314626
100,"CapPass",166.87,-174.8,"Trend",0.955,586.36,589.32,100,"B-3","Alloy 617","Plate",314626
101,"CapPass",170.58,-174.1,"Trend",0.980,592.32,595.31,101,"B-3","Alloy 617","Plate",314626
102,"CapPass",175.08,-174.1,"Trend",1.006,598.29,601.28,102,"B-3","Alloy 617","Plate",314626
103,"CapPass",173.56,-174.9,"Trend",0.992,604.28,607.25,103,"B-3","Alloy 617","Plate",314626
104,"CapPass",164.88,-169.4,"Trend",0.974,610.00,613.14,104,"B-3","Alloy 617","Plate",314626
105,"CapPass",169.15,-172.4,"Trend",0.981,616.09,619.17,105,"B-3","Alloy 617","Plate",314626
106,"CapPass",171.52,-174.4,"Trend",0.984,622.18,625.06,106,"B-3","Alloy 617","Plate",314626
107,"CapPass",167.58,-173.6,"Trend",0.965,627.73,631.09,107,"B-3","Alloy 617","Plate",314626
108,"CapPass",168.70,-173.1,"Trend",0.975,634.12,637.07,108,"B-3","Alloy 617","Plate",314626
109,"CapPass",173.63,-172.6,"Trend",1.006,640.09,643.06,109,"B-3","Alloy 617","Plate",314626
110,"CapPass",176.42,-172.5,"Trend",1.023,646.06,649.03,110,"B-3","Alloy 617","Plate",314626
111,"CapPass",176.58,-172.7,"Trend",1.023,652.03,655.01,111,"B-3","Alloy 617","Plate",314626
112,"CapPass",176.76,-175.7,"Trend",1.006,657.98,660.97,112,"B-3","Alloy 617","Plate",314626
113,"CapPass",161.01,-178.4,"Trend",0.902,663.98,666.92,113,"B-3","Alloy 617","Plate",314626
114,"CapPass",168.75,-177.1,"Trend",0.953,669.93,672.90,114,"B-3","Alloy 617","Plate",314626
115,"CapPass",169.17,-180.3,"Trend",0.938,675.90,678.86,115,"B-3","Alloy 617","Plate",314626
116,"CapPass",165.10,-176.8,"Trend",0.934,681.59,684.86,116,"B-3","Alloy 617","Plate",314626
117,"CapPass",167.65,-176.3,"Trend",0.951,687.86,690.81,117,"B-3","Alloy 617","Plate",314626
118,"CapPass",170.10,-174.8,"Trend",0.973,693.82,696.79,118,"B-3","Alloy 617","Plate",314626
119,"CapPass",170.13,-175.9,"Trend",0.967,699.81,702.76,119,"B-3","Alloy 617","Plate",314626
